dim,fid,initialization,basic,cm_angle,disp,ela_conv,ela_curv,ela_distr,ela_level,ela_local,ela_meta,ic,nbc,pca
2,1,16.666666666666668,0,0,0,166.66666666666666,716.6666666666666,0,0,340.8333333333333,0,0,0,0
3,1,18.75,0,0,0,125,1406.25,0,0,535.75,0,0,0,0
5,1,20.833333333333332,0,0,0,83.33333333333333,3395.8333333333335,0,0,1014.25,0,0,0,0
10,1,22.321428571428573,0,0,0,44.642857142857146,11674.107142857143,0,0,2241.964285714286,0,0,0,0
2,2,4.854368932038835,0,0,0,48.543689320388346,208.73786407766988,0,0,1135.9223300970873,0,0,0,0
3,2,5.319148936170213,0,0,0,35.46099290780142,398.93617021276594,0,0,2268.1205673758864,0,0,0,0
5,2,5.2521008403361344,0,0,0,21.008403361344534,856.0924369747898,0,0,5580.063025210084,0,0,0,0
10,2,5.330490405117271,0,0,0,10.66098081023454,2787.8464818763327,0,0,14876.066098081024,0,0,0,0
2,3,1.240694789081886,0,0,0,12.40694789081886,53.349875930521094,0,0,114.64019851116626,0,0,0,0
3,3,1.1278195488721805,0,0,0,7.518796992481203,84.58646616541354,0,0,158.38345864661653,0,0,0,0
5,3,0.8704735376044569,0,0,0,3.4818941504178276,141.88718662952647,0,0,240.6615598885794,0,0,0,0
10,3,0.7959248646927729,0,0,0,1.5918497293855458,416.26870423432024,0,0,649.3696275071633,0,0,0,0
2,4,1.0121457489878545,0,0,0,10.121457489878544,43.522267206477736,0,0,101.49797570850204,0,0,0,0
3,4,0.6830601092896175,0,0,0,4.553734061930784,51.22950819672131,0,0,123.816029143898,0,0,0,0
5,4,0.5141916906622789,0,0,0,2.0567667626491155,83.81324557795146,0,0,198.53969559851913,0,0,0,0
10,4,0.46825248173815326,0,0,0,0.9365049634763064,244.89604794905415,0,0,547.015358681401,0,0,0,0
2,5,22.727272727272727,0,0,0,227.27272727272725,977.2727272727273,0,0,461.81818181818176,0,0,0,0
3,5,22.72727272727273,0,0,0,151.51515151515153,1704.5454545454547,0,0,672.7272727272727,0,0,0,0
5,5,26.041666666666668,0,0,0,104.16666666666669,4244.791666666667,0,0,1253.8541666666667,0,0,0,0
10,5,39.0625,0,0,0,78.125,20429.6875,0,0,3312.5,0,0,0,0
2,6,1.779359430604982,0,0,0,17.793594306049823,76.51245551601423,0,0,1028.291814946619,0,0,0,0
3,6,1.1645962732919253,0,0,0,7.763975155279502,87.3447204968944,0,0,1268.5481366459626,0,0,0,0
5,6,0.6433350488934637,0,0,0,2.573340195573855,104.86361296963456,0,0,1532.0303654143077,0,0,0,0
10,6,0.3212128999100604,0,0,0,0.6424257998201208,167.99434665296158,0,0,2283.104843890531,0,0,0,0
2,7,0.5347593582887701,0,0,0,5.347593582887701,16.577540106951872,0,0,3.2085561497326203,0,0,0,0
3,7,0.43680838672102507,0,0,0,2.9120559114735003,24.89807804309843,0,0,3.5119394292370414,0,0,0,0
5,7,0.2670940170940171,0,0,0,1.0683760683760684,35.532051282051285,0,0,3.3664529914529915,0,0,0,0
10,7,0.15739108536892468,0,0,0,0.31478217073784936,72.89788466381263,0,0,3.942646688491563,0,0,0,0
2,8,2.1645021645021645,0,0,0,21.645021645021643,93.07359307359307,0,0,571.1038961038961,0,0,0,0
3,8,1.8703241895261844,0,0,0,12.468827930174562,140.27431421446383,0,0,667.4688279301745,0,0,0,0
5,8,0.7720815318097591,0,0,0,3.0883261272390365,125.84928968499074,0,0,475.21000617665226,0,0,0,0
10,8,0.4854368932038835,0,0,0,0.970873786407767,253.88349514563103,0,0,907.657281553398,0,0,0,0
2,9,3.0303030303030303,0,0,0,30.303030303030305,130.3030303030303,0,0,564.6969696969697,0,0,0,0
3,9,2.2255192878338277,0,0,0,14.836795252225516,166.91394658753708,0,0,717.5816023738872,0,0,0,0
5,9,1.846381093057607,0,0,0,7.385524372230428,300.96011816838995,0,0,1073.9586410635154,0,0,0,0
10,9,1.2594458438287153,0,0,0,2.5188916876574305,658.6901763224181,0,0,2179.7380352644836,0,0,0,0
2,10,3.496503496503496,0,0,0,34.96503496503497,150.34965034965035,0,0,977.4475524475524,0,0,0,0
3,10,2.5252525252525255,0,0,0,16.835016835016834,189.3939393939394,0,0,1927.2727272727273,0,0,0,0
5,10,2.035830618892508,0,0,0,8.143322475570033,331.84039087947883,0,0,4474.657980456026,0,0,0,0
10,10,1.067463706233988,0,0,0,2.134927412467976,558.2835183603758,0,0,3328.725448334757,0,0,0,0
2,11,3.6496350364963503,0,0,0,36.496350364963504,156.93430656934308,0,0,2082.116788321168,0,0,0,0
3,11,4.032258064516129,0,0,0,26.881720430107524,302.41935483870964,0,0,2677.7419354838707,0,0,0,0
5,11,4.194630872483222,0,0,0,16.778523489932887,683.7248322147651,0,0,7774.647651006711,0,0,0,0
10,11,2.9171528588098017,0,0,0,5.834305717619603,1525.670945157526,0,0,11383.179696616102,0,0,0,0
2,12,1.146788990825688,0,0,0,11.46788990825688,49.31192660550459,0,0,433.6582568807339,0,0,0,0
3,12,0.6660746003552398,0,0,0,4.440497335701599,49.95559502664299,0,0,505.7682060390764,0,0,0,0
5,12,0.7778469197261979,0,0,0,3.1113876789047916,126.78904791537026,0,0,632.943372744244,0,0,0,0
10,12,0.5591590248266607,0,0,0,1.1183180496533214,292.4401699843435,0,0,1014.1959293222992,0,0,0,0
2,13,2.3923444976076556,0,0,0,23.923444976076556,102.8708133971292,0,0,919.377990430622,0,0,0,0
3,13,1.503006012024048,0,0,0,10.02004008016032,112.7254509018036,0,0,995.4509018036072,0,0,0,0
5,13,1.0220768601798855,0,0,0,4.088307440719542,166.59852820932136,0,0,1251.07931316435,0,0,0,0
10,13,0.6932889628397115,0,0,0,1.386577925679423,362.5901275651691,0,0,1977.8036605657237,0,0,0,0
2,14,4.424778761061947,0,0,0,44.24778761061947,190.2654867256637,0,0,1281.1946902654863,0,0,0,0
3,14,4.143646408839778,0,0,0,27.62430939226519,310.7734806629834,0,0,1945.1657458563536,0,0,0,0
5,14,4.512635379061372,0,0,0,18.050541516245488,735.5595667870036,0,0,3948.375451263538,0,0,0,0
10,14,3.4059945504087192,0,0,0,6.8119891008174385,1781.33514986376,0,0,6556.83923705722,0,0,0,0
2,15,0.1608234158893535,0,0,0,1.608234158893535,6.9154068832422,0,0,16.12254744290769,0,0,0,0
3,15,0.07369558809079296,0,0,0,0.4913039206052864,5.527169106809472,0,0,12.385280534538666,0,0,0,0
5,15,0.01577565752940582,0,0,0,0.06310263011762329,2.5714321772931497,0,0,5.090362966328437,0,0,0,0
10,15,0.00879266199600461,0,0,0,0.01758532399200922,4.598562223910413,0,0,7.444711741369123,0,0,0,0
2,16,0.4145936981757878,0,0,0,4.1459369817578775,17.827529021558874,0,0,126.02819237147597,0,0,0,0
3,16,0.12369433754810334,0,0,0,0.8246289169873556,9.277075316107751,0,0,62.11682242990654,0,0,0,0
5,16,0.06563057859918094,0,0,0,0.26252231439672374,10.697784311666492,0,0,58.89976898036333,0,0,0,0
10,16,0.02846829201635218,0,0,0,0.05693658403270437,14.888916724552193,0,0,58.55238735096849,0,0,0,0
2,17,0.2635740643120717,0,0,0,2.635740643120717,11.333684765419084,0,0,14.472851871375855,0,0,0,0
3,17,0.3687315634218289,0,0,0,2.4582104228121926,27.654867256637168,0,0,38.41199606686333,0,0,0,0
5,17,0.2675943270002676,0,0,0,1.0703773080010703,43.61787530104362,0,0,83.68423869413968,0,0,0,0
10,17,0.29511583296443855,0,0,0,0.5902316659288771,154.34558064040135,0,0,554.1549358123063,0,0,0,0
2,18,0.17295053614666203,0,0,0,1.7295053614666205,7.436873054306468,0,0,13.723625043237632,0,0,0,0
3,18,0.10349109976542016,0,0,0,0.6899406651028012,7.761832482406512,0,0,11.829032703187526,0,0,0,0
5,18,0.06090430715260183,0,0,0,0.24361722861040733,9.927402065874098,0,0,18.810660689923992,0,0,0,0
10,18,0.03937007874015748,0,0,0,0.07874015748031496,20.590551181102363,0,0,74.2084251968504,0,0,0,0
2,19,3.125,0,0,0,31.25,134.375,0,0,650.9375,0,0,0,0
3,19,0.03573130061934254,0,0,0,0.23820867079561697,2.679847546450691,0,0,16.0381133873273,0,0,0,0
5,19,0.03032263281313172,0,0,0,0.1212905312525269,4.942589148540471,0,0,29.61975418452333,0,0,0,0
10,19,0.0010282311134509,0,0,0,0.00205646222690181,0.537764872334825,0,0,1.3624843708870755,0,0,0,0
2,20,0.2730748225013654,0,0,0,2.7307482250136537,11.74221736755871,0,0,21.982523211359915,0,0,0,0
3,20,0.06515129578688286,0,0,0,0.43434197191255247,4.886347184016215,0,0,8.501809758216302,0,0,0,0
5,20,0.02021672327349183,0,0,0,0.08086689309396733,3.2953258935791685,0,0,6.72707423580786,0,0,0,0
10,20,0.00380476965924482,0,0,0,0.00760953931848965,1.9898945317850456,0,0,6.0333297822149845,0,0,0,0
2,21,1.1312217194570136,0,0,0,11.312217194570136,48.64253393665158,0,0,84.2760180995475,0,0,0,0
3,21,0.40178571428571425,0,0,0,2.6785714285714284,30.13392857142857,0,0,46.93660714285714,0,0,0,0
5,21,0.2699201036493198,0,0,0,1.0796804145972791,43.99697689483912,0,0,60.682358022025475,0,0,0,0
10,21,0.26466229091679017,0,0,0,0.5293245818335803,138.41837814948127,0,0,150.2239042981156,0,0,0,0
2,22,0.6369426751592356,0,0,0,6.369426751592357,27.388535031847137,0,0,52.261146496815286,0,0,0,0
3,22,0.5430847212165097,0,0,0,3.6205648081100654,40.73135409123824,0,0,69.14554670528602,0,0,0,0
5,22,0.34587714443829554,0,0,0,1.383508577753182,56.37797454344217,0,0,80.77199778638628,0,0,0,0
10,22,0.19174720049087285,0,0,0,0.3834944009817457,100.2837858567265,0,0,103.37666820064427,0,0,0,0
2,23,0.2378686964795433,0,0,0,2.378686964795433,10.228353948620365,0,0,59.431493815413894,0,0,0,0
3,23,0.05391804457225018,0,0,0,0.35945363048166784,4.043853342918763,0,0,26.3098490294752,0,0,0,0
5,23,0.01303386720053386,0,0,0,0.05213546880213547,2.1245203536870205,0,0,10.088526026026026,0,0,0,0
10,23,0.00943923398728346,0,0,0,0.01887846797456692,4.936719375349251,0,0,17.608003715282496,0,0,0,0
2,24,0.02560163850486431,0,0,0,0.2560163850486431,1.1008704557091653,0,0,2.7521761392729136,0,0,0,0
3,24,0.02092633928571428,0,0,0,0.13950892857142858,1.5694754464285716,0,0,3.4299665178571432,0,0,0,0
5,24,3.978287145286968e-5,0,0,0,1.591314858114787e-4,0.00648460804681775,0,0,0.01446823468997964,0,0,0,0
10,24,6.782961905122371e-5,0,0,0,1.3565923810244742e-4,0.03547489076379,0,0,0.07598558810518095,0,0,0,0
